scope,layer,property,value,units,notes,source_reference
bowhead,muscle,thermal_conductivity_W_mK,0.51,W/(m-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,density_kg_m3,1050,kg/m3,Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,specific_heat_J_kgK,3600,J/(kg-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,perfusion_rate_kg_m3s,0.5,kg/(m3-s),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,muscle,metabolic_heat_W_m3,750,W/m3,Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,thermal_conductivity_W_mK,0.56,W/(m-K),Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,density_kg_m3,1030,kg/m3,Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,specific_heat_J_kgK,4000,J/(kg-K),Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,perfusion_rate_kg_m3s,0.8,kg/(m3-s),Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,metabolic_heat_W_m3,3200,W/m3,Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
bowhead,core,blood_temp_C,33.8,C,Core organs. Bowhead deep body temperature reported ~33.8 C (NSB).,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K; deep body temperature ~33.8 C.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/bowhead_references.md for full citation list.
humpback,blubber,thermal_conductivity_W_mK,0.19,W/(m-K),Humpback blubber k=0.19 W/m-K based on marine mammal blubber measurements (Kvadsheim et al. 1996). Blubber acts as insulation with minimal blood flow.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,blubber,density_kg_m3,950,kg/m3,Humpback blubber k=0.19 W/m-K based on marine mammal blubber measurements (Kvadsheim et al. 1996). Blubber acts as insulation with minimal blood flow.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,blubber,specific_heat_J_kgK,2300,J/(kg-K),Humpback blubber k=0.19 W/m-K based on marine mammal blubber measurements (Kvadsheim et al. 1996). Blubber acts as insulation with minimal blood flow.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,blubber,perfusion_rate_kg_m3s,0.0,kg/(m3-s),Humpback blubber k=0.19 W/m-K based on marine mammal blubber measurements (Kvadsheim et al. 1996). Blubber acts as insulation with minimal blood flow.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,blubber,metabolic_heat_W_m3,0,W/m3,Humpback blubber k=0.19 W/m-K based on marine mammal blubber measurements (Kvadsheim et al. 1996). Blubber acts as insulation with minimal blood flow.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,muscle,thermal_conductivity_W_mK,0.51,W/(m-K),Skeletal muscle with resting perfusion ~0.5 kg/(m3-s). Species config perfusion_scale accounts for CCHE reduction.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,muscle,density_kg_m3,1050,kg/m3,Skeletal muscle with resting perfusion ~0.5 kg/(m3-s). Species config perfusion_scale accounts for CCHE reduction.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,muscle,specific_heat_J_kgK,3600,J/(kg-K),Skeletal muscle with resting perfusion ~0.5 kg/(m3-s). Species config perfusion_scale accounts for CCHE reduction.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,muscle,perfusion_rate_kg_m3s,0.5,kg/(m3-s),Skeletal muscle with resting perfusion ~0.5 kg/(m3-s). Species config perfusion_scale accounts for CCHE reduction.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,muscle,metabolic_heat_W_m3,700,W/m3,Skeletal muscle with resting perfusion ~0.5 kg/(m3-s). Species config perfusion_scale accounts for CCHE reduction.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,thermal_conductivity_W_mK,0.56,W/(m-K),Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,density_kg_m3,1030,kg/m3,Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,specific_heat_J_kgK,4000,J/(kg-K),Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,perfusion_rate_kg_m3s,0.8,kg/(m3-s),Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,metabolic_heat_W_m3,3000,W/m3,Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
humpback,core,blood_temp_C,36.8,C,Core organs with high perfusion. Arterial temperature matches species core_temperature_C.,"Kvadsheim PH, Folkow LP, Blix AS (1996). Thermal conductivity of minke whale blubber. J Therm Biol 21:123-128.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Worthy GAJ, Edwards EF (1990). Morphometric and biochemical factors affecting heat loss in cetaceans. Physiol Zool 63:432-442.; See docs/literature_review.md for full citation list."
right_whale,blubber,thermal_conductivity_W_mK,0.2,W/(m-K),Right whale blubber k=0.20 W/m-K. Right whales have exceptionally thick blubber (15-25 cm) similar to bowhead whales. Bowhead measured at 0.23 W/m-K (North Slope Borough). Slightly lower density due to higher lipid content. Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/right_whale_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,blubber,density_kg_m3,940,kg/m3,Right whale blubber k=0.20 W/m-K. Right whales have exceptionally thick blubber (15-25 cm) similar to bowhead whales. Bowhead measured at 0.23 W/m-K (North Slope Borough). Slightly lower density due to higher lipid content. Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/right_whale_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,blubber,specific_heat_J_kgK,2350,J/(kg-K),Right whale blubber k=0.20 W/m-K. Right whales have exceptionally thick blubber (15-25 cm) similar to bowhead whales. Bowhead measured at 0.23 W/m-K (North Slope Borough). Slightly lower density due to higher lipid content. Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/right_whale_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,blubber,perfusion_rate_kg_m3s,0.23,kg/(m3-s),Right whale blubber k=0.20 W/m-K. Right whales have exceptionally thick blubber (15-25 cm) similar to bowhead whales. Bowhead measured at 0.23 W/m-K (North Slope Borough). Slightly lower density due to higher lipid content. Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/right_whale_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,blubber,metabolic_heat_W_m3,0,W/m3,Right whale blubber k=0.20 W/m-K. Right whales have exceptionally thick blubber (15-25 cm) similar to bowhead whales. Bowhead measured at 0.23 W/m-K (North Slope Borough). Slightly lower density due to higher lipid content. Resting subcutaneous adipose perfusion ~1.0-1.3 ml/100g/min (human studies; see docs/right_whale_references.md) converted to ~0.18-0.23 kg/(m3·s); use 0.23 as proxy for blubber baseline. Species perfusion_scale models countercurrent heat exchange.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,muscle,thermal_conductivity_W_mK,0.51,W/(m-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,muscle,density_kg_m3,1050,kg/m3,Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,muscle,specific_heat_J_kgK,3600,J/(kg-K),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,muscle,perfusion_rate_kg_m3s,0.5,kg/(m3-s),Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,muscle,metabolic_heat_W_m3,750,W/m3,Skeletal muscle. Slightly higher metabolic heat for cold-adapted species.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,thermal_conductivity_W_mK,0.56,W/(m-K),Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,density_kg_m3,1030,kg/m3,Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,specific_heat_J_kgK,4000,J/(kg-K),Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,perfusion_rate_kg_m3s,0.8,kg/(m3-s),Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,metabolic_heat_W_m3,3200,W/m3,Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
right_whale,core,blood_temp_C,36.6,C,Core organs. Right whales have slightly lower core temp than other mysticetes. Higher metabolic heat for cold water adaptation.,North Slope Borough. Bowhead whale energetics and temperature regulation. Blubber conductivity 0.23 W/m-K.; Parry DA (1949). The structure of whale blubber. Q J Microsc Sci 90:13-25.; Right whales have blubber up to 38 cm thick (Ohmura et al. 1969).; Muller et al. (2014). Circulation. Resting subcutaneous adipose blood flow ~1.3 ± 0.6 ml/100g/min.; Andersson et al. (2002). International Journal of Obesity. Resting adipose blood flow ~1.0 ± 0.3 ml/100g/min.; See docs/right_whale_references.md for full citation list.
