species,category,parameter,value,units,source_reference,notes
blue_whale,identity,species,blue_whale,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,identity,common_name,Blue Whale,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,identity,scientific_name,Balaenoptera musculus,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_C,36.7,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_min_C,34.6,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,core_temperature_max_C,37.2,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,physiology,thermoneutral_water_C,10.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,metabolic_scale,0.004,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,perfusion_scale,0.08,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,transition_fraction,0.15,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,region_blend_iterations,150,count,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,scaling,region_blend_alpha,0.5,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,dt_seconds,300,s,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,total_hours,24,h,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,solver,steady_eps,0.001,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,surface_obj,assets/meshes/blue_whale_surface.obj,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,volume_mesh,assets/meshes/blue_whale_variable_blubber.vtu,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,volume_raw,assets/meshes/blue_whale_volume_full_gmsh.vtk,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,mesh,element_size,0.18,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,vertex_groups,data/blue_whale/vertex_groups.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,surface_mesh,data/blue_whale/surface_mesh.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,surface_regions,data/blue_whale/surface_regions.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,data,tissue_info,data/blue_whale/tissue_info_variable.json,path,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Body,0.17,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Peduncle,0.1322,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Rostrum,0.0756,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,PectoralLeftFlipper,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,PectoralRightFlipper,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,Fluke,0.0472,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,DorsalFin,0.034,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,blubber_thickness,VentralGrooves,0.0378,m,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Body,9.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Peduncle,18.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Rostrum,60.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,DorsalFin,85.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,VentralGrooves,130.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,Fluke,170.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,PectoralLeftFlipper,190.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_base,PectoralRightFlipper,190.0,W/m^2-K,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,PectoralLeftFlipper.min,0.3,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,PectoralLeftFlipper.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,PectoralRightFlipper.min,0.3,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,PectoralRightFlipper.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,Fluke.min,0.3,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,Fluke.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,VentralGrooves.min,0.5,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,VentralGrooves.max,2.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,DorsalFin.min,0.7,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,DorsalFin.max,1.5,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,Rostrum.min,0.7,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,convection_capacity,Rostrum.max,1.5,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Body.min,0.7,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Body.max,1.3,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,PectoralLeftFlipper.min,0.05,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,PectoralLeftFlipper.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,PectoralRightFlipper.min,0.05,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,PectoralRightFlipper.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Fluke.min,0.05,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Fluke.max,3.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,VentralGrooves.min,0.1,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,VentralGrooves.max,2.0,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,DorsalFin.min,0.2,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,DorsalFin.max,1.5,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Rostrum.min,0.2,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,perfusion_capacity,Rostrum.max,1.5,multiplier,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,Body,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,PectoralLeftFlipper,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,PectoralRightFlipper,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,Fluke,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,DorsalFin,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,VentralGrooves,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,thermoregulatory_regions,region,Rostrum,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_0.water_temp_C,-2.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_0.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_1.water_temp_C,0.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_1.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_2.water_temp_C,5.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_2.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_3.water_temp_C,10.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_3.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_4.water_temp_C,15.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_4.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_5.water_temp_C,20.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_5.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_6.water_temp_C,25.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_6.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_7.water_temp_C,28.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_7.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_8.water_temp_C,30.0,C,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
blue_whale,default_cases,case_8.mode,active,,docs/blue_whale_references.md; docs/blubber_thickness_references.md,
bowhead,identity,species,bowhead,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,identity,common_name,Bowhead Whale,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,identity,scientific_name,Balaena mysticetus,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,physiology,core_temperature_C,33.8,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,physiology,core_temperature_min_C,33.2,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,physiology,core_temperature_max_C,34.4,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,physiology,thermoneutral_water_C,0.0,C,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,scaling,metabolic_scale,0.004,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,scaling,perfusion_scale,0.012,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,scaling,transition_fraction,0.15,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,scaling,region_blend_iterations,150,count,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,scaling,region_blend_alpha,0.5,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,solver,dt_seconds,300,s,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,solver,total_hours,24,h,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,solver,steady_eps,0.001,,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,mesh,surface_obj,assets/meshes/right_whale_surface.obj,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,mesh,volume_mesh,assets/meshes/bowhead_variable_blubber.vtu,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,mesh,volume_raw,assets/meshes/right_whale_volume_full_gmsh.vtk,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,mesh,element_size,0.18,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,data,vertex_groups,data/bowhead/vertex_groups.json,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,data,surface_mesh,data/bowhead/surface_mesh.json,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,data,surface_regions,data/bowhead/surface_regions.json,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,data,tissue_info,data/bowhead/tissue_info_variable.json,path,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,blubber_thickness,Body,0.5,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,Peduncle,0.35,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,Rostrum,0.15,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,LeftPectoralFlipper,0.0749,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,RightPectoralFlipper,0.0749,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,blubber_thickness,Fluke,0.0875,m,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md; docs/blubber_thickness_references.md,
bowhead,convection_base,Body,8.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Peduncle,15.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Rostrum,50.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,Fluke,140.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,LeftPectoralFlipper,160.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_base,RightPectoralFlipper,160.0,W/m^2-K,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,LeftPectoralFlipper.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,LeftPectoralFlipper.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,RightPectoralFlipper.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,RightPectoralFlipper.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Fluke.min,0.4,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Fluke.max,2.5,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Rostrum.min,0.8,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,convection_capacity,Rostrum.max,1.3,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Body.min,0.7,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,Body.max,1.3,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
bowhead,perfusion_capacity,LeftPectoralFlipper.min,0.05,multiplier,Sources: NSB bowhead energetics; COSEWIC 2023; Scientific Reports 2018.; docs/bowhead_references.md,
