species,category,parameter,value,units,source_reference,notes
humpback,default_cases,case_5.water_temp_C,20.0,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_5.mode,active,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_6.water_temp_C,25.0,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_6.mode,active,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_7.water_temp_C,28.0,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_7.mode,active,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_8.water_temp_C,30.0,C,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
humpback,default_cases,case_8.mode,active,,"Sources: Kvadsheim et al. 1997, Williams et al. 1999, Worthy & Edwards 1990; docs/blubber_thickness_references.md",
right_whale,identity,species,right_whale,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,identity,common_name,North Atlantic Right Whale,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,identity,scientific_name,Eubalaena glacialis,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,physiology,core_temperature_C,36.6,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,physiology,core_temperature_min_C,36.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,physiology,core_temperature_max_C,37.2,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,physiology,thermoneutral_water_C,8.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,scaling,metabolic_scale,0.005,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,scaling,perfusion_scale,0.012,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,scaling,transition_fraction,0.15,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,scaling,region_blend_iterations,150,count,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,scaling,region_blend_alpha,0.5,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,solver,dt_seconds,300,s,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,solver,total_hours,24,h,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,solver,steady_eps,0.001,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,mesh,surface_obj,assets/meshes/right_whale_surface.obj,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,mesh,volume_mesh,assets/meshes/right_whale_variable_blubber.vtu,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,mesh,volume_raw,assets/meshes/right_whale_volume_full_gmsh.vtk,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,mesh,element_size,0.18,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,data,vertex_groups,data/right_whale/vertex_groups.json,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,data,surface_mesh,data/right_whale/surface_mesh.json,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,data,surface_regions,data/right_whale/surface_regions.json,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,data,tissue_info,data/right_whale/tissue_info_variable.json,path,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,Body,0.3,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,Peduncle,0.21,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,Rostrum,0.09,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,LeftPectoralFlipper,0.0449,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,RightPectoralFlipper,0.0449,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,blubber_thickness,Fluke,0.0525,m,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,Body,8.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,Peduncle,15.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,Rostrum,50.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,Fluke,140.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,LeftPectoralFlipper,160.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_base,RightPectoralFlipper,160.0,W/m^2-K,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,LeftPectoralFlipper.min,0.4,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,LeftPectoralFlipper.max,2.5,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,RightPectoralFlipper.min,0.4,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,RightPectoralFlipper.max,2.5,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,Fluke.min,0.4,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,Fluke.max,2.5,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,Rostrum.min,0.8,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,convection_capacity,Rostrum.max,1.3,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Body.min,0.7,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Body.max,1.3,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,LeftPectoralFlipper.min,0.05,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,LeftPectoralFlipper.max,3.0,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,RightPectoralFlipper.min,0.05,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,RightPectoralFlipper.max,3.0,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Fluke.min,0.05,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Fluke.max,3.0,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Rostrum.min,0.2,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,perfusion_capacity,Rostrum.max,1.5,multiplier,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,thermoregulatory_regions,region,Body,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,thermoregulatory_regions,region,LeftPectoralFlipper,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,thermoregulatory_regions,region,RightPectoralFlipper,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,thermoregulatory_regions,region,Fluke,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,thermoregulatory_regions,region,Rostrum,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_0.water_temp_C,-2.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_0.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_1.water_temp_C,0.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_1.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_2.water_temp_C,5.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_2.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_3.water_temp_C,10.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_3.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_4.water_temp_C,15.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_4.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_5.water_temp_C,20.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_5.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_6.water_temp_C,25.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_6.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_7.water_temp_C,28.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_7.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_8.water_temp_C,30.0,C,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
right_whale,default_cases,case_8.mode,active,,"Sources: Kvadsheim et al. 1997, Parry 1949, Worthy & Edwards 1990; docs/right_whale_references.md; docs/blubber_thickness_references.md; docs/right_whale_references.md.",
