parameter,quantity,value,range_low,range_high,units,context,model_usage,source_citation,source_url,notes,date_accessed_utc
krill_digestible_efficiency_minke_whale,apparent_digestible_efficiency_percent,93,87,93,%,Minke whales eating krill (Thysanoessa sp.),Use as support for high assimilation efficiency assumption (e.g., 0.8-0.9),"Mårtensson, Nordøy & Blix (2007) British Journal of Nutrition","https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/digestibility-of-krill-euphausia-superba-and-thysanoessa-sp-in-minke-whales-balaenoptera-acutorostrata-and-crabeater-seals-lobodon-carcinophagus/DED97D41ED28007CA20EB1D07D55B95D","Abstract reports median %DE 93 (range 87-93) for Thysanoessa sp.; not E. superba but comparable krill prey. Use as an upper-bound anchor for baleen whale krill digestibility.",2026-02-12
krill_digestible_efficiency_crabeater_seal,apparent_digestible_efficiency_percent,84,79,85,%,Crabeater seals eating Euphausia superba,Lower-bound comparator for krill digestibility across marine mammals,"Mårtensson, Nordøy & Blix (2007) British Journal of Nutrition","https://www.cambridge.org/core/journals/british-journal-of-nutrition/article/digestibility-of-krill-euphausia-superba-and-thysanoessa-sp-in-minke-whales-balaenoptera-acutorostrata-and-crabeater-seals-lobodon-carcinophagus/DED97D41ED28007CA20EB1D07D55B95D","Abstract reports median %DE 84 (range 79-85) for E. superba in crabeater seals.",2026-02-12
krill_energy_density_dry,Schaafsma2018_energy_per_dry_mass_kJ_g,,15.24,22.6,kJ/g_dry,Adult Antarctic krill energy per dry mass in summer,Support prey energy density conversion (dry->wet) and variability range,"Schaafsma et al. (2018) as cited in Frontiers in Marine Science (2024) 10.3389/fmars.2024.1337080","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2024.1337080/full","Frontiers 2024 states adult energy content between 15.24 and 22.6 kJ/g dry mass during summer; treat as dry-basis energy density range.",2026-02-12
krill_moisture_fraction,moisture_content_fraction,,0.77,0.80,kg_water/kg_wet,Antarctic krill proximate composition by season,Support dry-matter fraction for dry->wet energy conversion,"Kim et al. (2014) Fisheries and Aquatic Sciences 17(4):409-419 (abstract via Mendeley)","https://www.mendeley.com/catalogue/df829029-1e16-30ec-9f41-54fc2f8b121b/","Abstract reports moisture content ranged 77-80%. Prefer verifying against full-text or another primary dataset if needed.",2026-02-12
krill_energy_density_wet_derived,derived_energy_density_wet_from_dry_and_moisture,,3.05,5.20,MJ/kg_wet,Derived from dry energy density and moisture fraction,Default prey energy density for kcal/day->krill kg/day conversion,"Derived: (15.24-22.6 kJ/g dry) * (dry_fraction=0.20-0.23)","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2024.1337080/full","Derived envelope uses low dry energy with high moisture for min and high dry energy with low moisture for max. 1 kJ/g wet = 1 MJ/kg wet.",2026-02-12
marine_mammal_COT_allometry,COT_tot_equation,"COT_tot = 7.79 * mass^-0.29",,,"J kg^-1 m^-1",Swimming marine mammals cost of transport allometry,Supports swimming multiplier rationale in paper and configs,"Williams (1999) Phil. Trans. R. Soc. Lond. B; full text via PMC1692474","https://pmc.ncbi.nlm.nih.gov/articles/PMC1692474/","Equation reported in the paper; used in manuscript and species YAML to justify locomotion multipliers.",2026-02-12
forced_convection_scaling_exponent,turbulent_flat_plate_Nu_scaling_exponent,0.8,,,dimensionless,Turbulent forced convection over a flat plate,Supports convection speed exponent choice (h ~ U^0.8 in turbulent regime),"Kulacki/Ghajar (Marks Standard Handbook excerpt PDF): Nu = 0.037 Re^0.8 Pr^1/3 for turbulent flat plate","https://aghajar.okstate.edu/sites/default/files/pub-pdfs/Ghajar_Marks%20Section%202.4_Heat%20Transfer%20by%20Conduction%20and%20Convection.pdf","Using Re ~ U*L/nu, Nu ~ Re^0.8 implies h ~ U^0.8 (for fixed fluid properties and geometry). This is an engineering correlation, not a whale-specific measurement.",2026-02-12
blubber_thermal_conductivity_minke_whale,thermal_conductivity_weighted_mean,0.25,0.22,0.28,W/m/K,Minke whale blubber (Balaenoptera acutorostrata) weighted mean,Support plausible blubber k range for baleen whales,"Kvadsheim, Folkow & Blix (1996) Journal of Thermal Biology 21(2):123-128 DOI:10.1016/0306-4565(95)00034-8","https://www.sciencedirect.com/science/article/pii/0306456595000348","Abstract reports average weighted blubber conductivity 0.25 W/m/K (SD 0.03, n=9). range_low/high here are approx mean±SD, not min/max.",2026-02-12
blubber_thermal_conductivity_pilot_whale,thermal_conductivity_mean,0.20,0.19,0.21,W/m/K,Short-finned pilot whale blubber (Globicephala macrorhynchus),Support odontocete blubber k range anchor,"Bagge et al. (2012) (PubMed 22972895)","https://pubmed.ncbi.nlm.nih.gov/22972895/","Abstract reports 0.20±0.01 W m^-1 C^-1; range_low/high are mean±SD.",2026-02-12
blubber_thermal_conductivity_pygmy_sperm_whale,thermal_conductivity_mean,0.15,0.14,0.16,W/m/K,Pygmy sperm whale blubber (Kogia breviceps),Support lower-end blubber k for high wax-ester content blubber,"Bagge et al. (2012) (PubMed 22972895)","https://pubmed.ncbi.nlm.nih.gov/22972895/","Abstract reports 0.15±0.01 W m^-1 C^-1; range_low/high are mean±SD.",2026-02-12
cetacean_blubber_conductivity_table,thermal_conductivity_range_example,0.20,0.20,0.28,W/m/K,Cetacean blubber conductivity ranges summary table,Secondary support for typical literature ranges,"Dunkin et al. (2005) J. Exp. Biol. table PDF (conductivity compilation)","https://dunkin.eeb.ucsc.edu/images/documents/ontogenetic_changes_in_blubber_2005.pdf","Table compiles multiple sources; includes minke whale 0.20-0.28 (Kvadsheim 1996) and fin whale 0.21 (Parry 1949). Use as secondary compilation, prefer primary papers when possible.",2026-02-12
minke_whale_feeding_period_days,feeding_period_assumption_days,180,,,days,"Minke whale feeding season length assumption for consumption estimates (15 Apr - 15 Oct)","Supports seasonality assumptions when converting annual prey consumption to daily rates","Folkow et al. (2000) NAMMCO Scientific Publications 2:65-80 DOI:10.7557/3.2972","https://septentrio.uit.no/index.php/NAMMCOSP/article/view/2972","Paper assumes a 180-day feeding period. Useful for bounding implied daily krill intake when comparing to regional consumption estimates.",2026-02-12
minke_whale_urine_energy_loss_fraction,urine_energy_loss_fraction,0.08,,,fraction_of_gross_energy,"Assumed fraction of gross energy lost via urine for minke whale energy budget","Supports metabolizable-energy/assimilation efficiency assumption (gross -> metabolizable)","Folkow et al. (2000) NAMMCO Scientific Publications 2:65-80 DOI:10.7557/3.2972","https://septentrio.uit.no/index.php/NAMMCOSP/article/view/2972","Paper assumes 8% of energy lost in urine.",2026-02-12
minke_whale_feces_energy_loss_fraction,feces_energy_loss_fraction,0.08,,,fraction_of_gross_energy,"Assumed fraction of gross energy lost via feces for minke whale energy budget","Supports metabolizable-energy/assimilation efficiency assumption (gross -> metabolizable)","Folkow et al. (2000) NAMMCO Scientific Publications 2:65-80 DOI:10.7557/3.2972","https://septentrio.uit.no/index.php/NAMMCOSP/article/view/2972","Paper assumes 8% of energy lost in feces.",2026-02-12
minke_whale_metabolizable_energy_fraction_derived,derived_metabolizable_energy_fraction,0.84,,,fraction_of_gross_energy,"Derived from urine (8%) + feces (8%) losses in energy budget assumption","Use as a defensible assimilation efficiency anchor for krill-based intake estimates (approx 0.84)","Derived from Folkow et al. (2000) NAMMCO Scientific Publications 2:65-80 DOI:10.7557/3.2972","https://septentrio.uit.no/index.php/NAMMCOSP/article/view/2972","Derived: metabolizable fraction = 1 - 0.08 - 0.08 = 0.84.",2026-02-12
narwhal_blubber_k_mean,thermal_conductivity_mean_range,,0.19,0.20,W/m/K,Narwhal (Monodon monoceros) blubber mean conductivity reported in thesis abstract,Supports plausible baleen/odontocete blubber k anchor and Arctic-species comparison,"Kruger (2025) UiT Master thesis abstract (Munin handle 10037/37509)","https://munin.uit.no/handle/10037/37509","Values transcribed from abstract on the Munin item page; full PDF currently requires JS-enabled redirect, so treat as provisional until verified from PDF.",2026-02-12
narwhal_blubber_k_outer_layer,thermal_conductivity_outer_layer_range,,0.23,0.28,W/m/K,Narwhal outer-layer blubber conductivity range in thesis abstract,Supports layered blubber conductivity prior (outer layer higher k),"Kruger (2025) UiT Master thesis abstract (Munin handle 10037/37509)","https://munin.uit.no/handle/10037/37509","Values transcribed from abstract on the Munin item page; indicates outer layer has higher conductivity than inner layer.",2026-02-12
narwhal_blubber_k_inner_layer,thermal_conductivity_inner_layer_range,,0.12,0.16,W/m/K,Narwhal inner-layer blubber conductivity range in thesis abstract,Supports layered blubber conductivity prior (inner layer lower k),"Kruger (2025) UiT Master thesis abstract (Munin handle 10037/37509)","https://munin.uit.no/handle/10037/37509","Values transcribed from abstract on the Munin item page.",2026-02-12
